cuenca,subcuenca,x1,estacion,nivel,x2,x3,dt
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,101,,,2000-04-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,32,,,2000-04-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-10 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,8,,,2000-04-11 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-12 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-13 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-14 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-15 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,3,,,2000-04-16 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,14,,,2000-04-17 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,19,,,2000-04-18 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,10,,,2000-04-19 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,4,,,2000-04-20 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-21 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-22 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-23 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-24 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-25 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-26 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-27 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,19,,,2000-04-28 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-29 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-04-30 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,32,,,2000-05-01 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,39,,,2000-05-02 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-03 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,8,,,2000-05-04 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,15,,,2000-05-05 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,12,,,2000-05-06 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-07 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-08 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-09 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-10 07:00:00
Central Baygorria,Directa Baygorria,Local Baygorria,UTE Baygorria,0,,,2000-05-11 07:00:00
